Description,Tag,Code
"Front is shared collaborative inboxes for email, SMS, and Twitter built for teams. It provides every external conversation in one place, easily searchable, and sharable with others on your team.",Workforce of the Future,130
"Cotap is a mobile app for group texting, calling and file sharing among teams. Features include enterprise-strength security, integration with existing business and file management applications, and functionality designed to engage groups in mobile discussion. It aims to be the 'WhatsApp' for the workplace.",Workforce of the Future,130
"Huddle is a cloud-based collaboration platform that combines file sharing, document management, workflow and team communication features for enterprises. It is intended to be a modern alternative to Sharepoint.",Workforce of the Future,130
Caplinked is a platform for secure workflow activity and file sharing between counterparties. It functions as a data room enterprises use to send and receive confidential information from 3rd parties. It also enables communication and task management among stakeholders to close deals more efficiently.,Workforce of the Future,130
Minbox is a low cost file sharing and collaboration platform for teams. It features real-time activity feeds and integration with a variety of cloud applications.,Workforce of the Future,130
"Kato is a team communication and collaboration platform meant to be an all-in-one alternative to email. It combines voice, text, and video messaging capabilities with collaborative document development and file management features.",Workforce of the Future,130
"Mixpanel provides a platform that analyzes customer, marketing, and product data and visually displays results in a flexible and intuitive manner.",Data Analytics,35
"Trustwave provides a variety of cyber security and cyber crime solutions. It offers a mix of software products and managed services through a team of security experts, hackers, and researchers.",Cybersecurity,33
"Veracode protects enterprises from pervasive web and mobile application security threats, offering products and services with a centralized, best practices approach to help scale governance programs across disparate business units and development teams Ñ and systematically reduce application-layer risk across the entire global infrastructure.",Cybersecurity,33
"LegalZoom is an easy-to-use, online service to help small business and consumers in the United States create  their own legal documents. They focus on convenience and service to provide a smart, cost-effective alternative to make sure everyone gets the legal protection they need.",Legal & Regulatory,75
BeyondCore delivers one-click automated business analysis. Their technology automatically explores millions of variable combinations and immediately presents the most important insights without human bias or error.,Data Analytics,35
"ZipRecruiter simplifies the process for both a job seeker and an employer. With ZipRecruiter, employers can find quality candidates by posting a job to 100+ leading job boards & social networks with one click. Job seekers get email alerts with postings that are tailor made for their skill set and location.",Workforce of the Future,130
"Narrative Science offers Quill, which is a natural language generation (Advanced NLG) platform for the enterprise that creates written narratives based on analysis of data and reporting.",Artificial Intelligence,3
"Ideo is a global design firm that takes a human-centered, design-based approach to helping organizations in the public and private sectors innovate and grow. They identify new ways to serve and support people by uncovering latent needs, behaviors, and desires. They help organizations build creative culture and the internal systems required to sustain innovation and launch new ventures.",Workforce of the Future,130
"9lenses provides a platform for ""digitally interviewing"" employees and stakeholders for input into solving specific business challenges. Users create survey-like interviews and send them to target recipients for their feedback. The tool provides detailed analysis and reporting on respondent answers and key trends.",Data Analytics,35
"Gainsight provides a Customer Success Management platform that allows companies to leverage customer intelligence and automation to proactively manage retention, reduce unexpected churn and identify upsell opportunities.",Data Analytics,35
"ReseachGate aims to connect researchers and make it easy for them to share and access scientific output, knowledge, and expertise via providing an online social network platform for scientists. On ResearchGate, they find what they need to advance their research.",Market Intelligence,82
Infinidat provides next generation enterprise class hybrid storage at a disruptive price point supporting a companyÕs needs for future growth.,Data Management,38
"redesign mobile is an online marketplace connecting businesses with qualified freelance professionals to help address temporary business challenges. It focuses on small projects, and allows organizations to see competing results before selecting which professional to pay. Focus areas include projects/advisory in UI/UX design, law, retail customer experience, and payments technology.",Crowdsourcing,30
"SpareHire is an online work marketplace that enables organizations to find and engage top-tier finance and consulting professionals for project-based work. They use technology to increase connectivity between these two groups in a discreet and confidential manner, and foster a flexible work solution for the modern organization and professional in the digital era.",New,99
"Bit9 + Carbon Black Security provides next-generation endpoint security solution. Its offerings consist of the Bit9 Security Platform for endpoint threat protection, Carbon Black for endpoint detection and response (EDR), and the Threat Intelligence Cloud for comprehensive, aggregated advanced threat intelligence.",Cybersecurity,33
Bromium has created a game-changing new technology called micro-virtualization to address enterprise security problems and provide protection for end users against advanced malware. Bromium vSentry provides protection at the endpoint against all advanced malware. ,Cybersecurity,33
"Centrify strengthens enterprise security by managing and securing user identities from cyber threats. With their platform of integrated software and cloud-based services, Centrify secures and unifies identity for both privileged and end users across todayÕs hybrid IT world of cloud, mobile and data center. ",Cybersecurity,33
"Socure is a provider of digital identity verification services. The company applies machine learning techniques with biometrics and data intelligence from email, phone, IP, social media and the broader internet, to offer multi-factor authentication. ",Cybersecurity,33
"CipherCloud enables organizations to securely adopt cloud applications by overcoming data privacy, residency, security, and regulatory compliance risks. They deliver an open platform with comprehensive security controls including encryption, tokenization, cloud data loss prevention, cloud malware detection, and activity monitoring. CipherCloudÕs technology protects sensitive information in real time, before it is sent to the cloud, while preserving application usability and functionality.",Cybersecurity,33
"Skyhigh Networks is a Cloud Security and Enablement Company that enables organizations to adopt cloud services with appropriate security, compliance, and governance. Skyhigh supports the entire cloud adoption lifecycle, providing visibility, analytics, and policy-based control.",Cybersecurity,33
Lookout provides mobile security solutions for enterprises centered around its predictive machine intelligence platform. The platform leverages a global database of 70M+ mobile users to aggegate mobile threat intelligence on which it runs predictive analysis to identify potential attacks before they happen. It also provides a mobile intelligence center for enterprises to manage security activity for all connected devices throughout the organization.,Cybersecurity,33
"Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.",Cybersecurity,33
"Pulse Secure is a leading provider of access and mobile security solutions to both enterprises and service providers. Enterprises from every vertical and of all sizes utilize the companyÕs Pulse virtual private network (VPN), network access control and mobile security products to enable end user mobility securely and seamlessly in their organizations.",Cybersecurity,33
"Clarabridge is a customer intelligence platform meant to serve as a single source for aggregating customer data across channels and sources, analyzing it, and managing customer outreach in one place. It helps marketing, sales, and customer success teams stay on the same page through a suite of reporting and visualization tools. Other features include consumer sentiment analysis, customer surveys, and direct customer engagement/outreach.",Digital Enterprise,45
"ListenLogic is an unstructured big data analytics firm that monitors a variety of internal and external signals to generate strategic and risk management insights for enterprises. It employs data science, machine learning, and managed services to provide predictive and real-time intelligence on customers, consumers, and a variety of enterprise risk factors.",Data Analytics,35
"NetBase provides social intelligence solutions that enable brands to publish, monitor, analyze and engage with customers in real time.",Data Analytics,35
Kira simplifies review and analysis of complex documents with a combination of machine learning technology and legal experts.,Legal & Regulatory,75
"Qlik delivers intuitive platform solutions for self-service data visualization, guided analytics applications, embedded analytics and reporting. Its Qlikview product is a guided analytics and dashboarding solution.",Data Analytics,35
"Sensum collects and analyzes Òemotional engagementÓ data to judge consumer responses to marketing campaigns, advertisements, and product experiences. It aggregates the data from mobile devices, sensors, and wearable apps through a variety of means including eye tracking, sweat response, biometrics, and facial encoding.",Digital Enterprise,45
"Optimizely is a website optimization platform, providing A/B and multivariate testing that enables users with and without technical expertise to make dynamic changes to their websites, test the variations to live traffic and gather immediate results.",Digital Enterprise,45
"ClearSlide provides a sales engagement platform that gives sales teams access to analytics and insight into how customers interact with content over email, phone, and in person. It also includes presentation software that can be efficiently synced across platforms and devices for use in sales presentations in a variety of formats.",Digital Enterprise,45
App Annie provides market data and research on mobile app markets as well as an analytics and reporting platform for individual app providers. Enterprises can leverage the market data to inform their overall mobile app strategies and use the analytics platform to monitor and manage their own app performance.,Digital Enterprise,45
"Nitro PDF is a platform for creating, editing, and signing PDF documents. It enables users to convert almost any document into a PDF efficiently, and create editable fields for users to fill out digitally. It also enables teams to digitally sign and share documents securely.",Workforce of the Future,130
"Anaplan provides a cloud-based enterprise business planning platform intended to replace siloed, spreadsheet-driven planning processes across different business units. It has a number of collaborative features, and also enables users to create custom planning applications on the platform. It can automatically integrate a wide variety of existing sources/inputs into one place.",Data Analytics,35
"Livefyre offers a content marketing and engagement platform that helps companies engage consumers through a combination of real-time conversation, social curation, content and advertising.",Digital Enterprise,45
"Lattice Engines offer data-driven business applications that help companies market and sell more intelligently, at every stage of the revenue cycle. Their complete set of marketing and sales applications predicts who will buy, what they are likely to buy and when. ",Digital Enterprise,45
"Applause provides crowdsourced software testing services through a global community of professional testers. Testing services include Functional, Load, Localization, Security, and Usability testing. It also serves as a networking and training platform for the testing community.",Crowdsourcing,30
Cloudera provides companies with a robust and secure data platform built on Apache Hadoop and help drive more value out of their data.,Data Analytics,35
"Innography is an analysis software platform that offers tools to enable companies for managing intellectual property. By integrating litigation, product, and technology standards, Innography enhances organizations' ability to understand their competition.",Legal & Regulatory,75
"Guardian Analytics provides fraud prevention solutions for protecting online channels and accounts. It provides a risk management solution for online fraud detection, forensics, and ongoing risk monitoring to financial institutions, such as banks, credit unions, and brokerages; and online service companies. The company also offers an analytics-based software solution that addresses the risk management life cycle.",Financial Crime,57
"Luminoso provides text analytics solutions that help enterprises analyze and understand direct and indirect consumer feedback across channels. It processes consumer ""conversations"" from a variety of structured and unstructured data sources, and converts it to actionable insights. It also provides an API service that can help enterprises improve the predictive modeling capabilities of existing systems.",Digital Enterprise,45
"Zenefits provides a platform to manage and automate a company's  HR functions. It quickly connects to a company's payroll, health insurance, paid time off, and other HR systems without having to change vendors, plans, or pricing.",Digital Enterprise,45
"It is a technology platform created by IBM that uses natural language processing and machine learning to uncover insights from large amounts of unstructured data. Watson Developer Cloud is a platform offering API services and a SDK for developers to build applications powered by IBM Watson. The APIs are based on 50 technologies in language, speech, vision, and data insights.",Artificial intelligence,3
Beckon offers an omnichannel analytics SaaS platform that integrates marketing data and delivers dashboards and scorecards for cross-channel marketing intelligence. Beckon aims to  let marketers make data-informed optimization decisions and tell the marketing story in terms of business impact.,Digital Enterprise,45
Visier is a workforce planning and analytics platform focused on unifying talent data across the enterprise and making it easier for HR and other departments to collaborate on talent initiatives. It offers it's cloud platform paired with integration services to unify workforce data and set up custom metrics dashboards.,Workforce of the Future,130
"eBrevia provides intelligent contract management and analytics solutions for enterprises and legal departments. It leverages machine learning to automatically extract relevant content from documents and organize it in digestible formats. Beyond contract management and analysis, key applications include due diligence acceleration and automated lease abstraction.",Legal & Regulatory,75
"HubSpot (IPO in Oct 2014) is an inbound marketing software platform that helps companies attract visitors, convert leads, and close customers.",Digital Enterprise,45
"Adobe marketing cloud is a complete set of marketing solutions, giving companies what they need to get deep insight into their customers, build personalized campaigns and manage content and assets.",Digital Enterprise,45
"NewsWhip is a social media tracking and analytics firm focused on identifying trending stories and influencers. It's core platform, Spike, tracks the ""social velocity"" of any story by analyzing the attention it's getting across news articles, pictures, and videos. Brands, publishers, and PR agencies leverage it to understand and predict the impact of social content.",Market Intelligence,82
"SpiceWorks offers free apps including network inventory, network monitor, and help desk. They also have rich APIs that developers and the world's largest tech brands are using to build applications to extend their apps and help IT pros solve their unique challenges. They amplify the power of our apps by combining it with a community that connects IT pros with peers, vendors and content to help them do their jobs.",Digital Enterprise,45
"Marketo (IPO in 2013) offers digital marketing software and solutions.  Their comprehensive suite of offerings includes marketing automation, customer engagement marketing, social media marketing, lead generation, marketing management, and marketing mix optimization.",Digital Enterprise,45
Geckoboard is a platform for creating custom KPI dashboards and data visualizations for the enterprise. It features a wide variety of pre-configured data integrations for users to connect to existing data sources they use throughout their business.,Data Analytics,35
Roambi is a business intelligence and analytics platform optimized for mobile devices. It enables enterprises to create custom visualizations using data from a variety of sources across their organization. It also enables users to create and share presentations from their mobile devices.,Data Analytics,35
"OracleÕs B2B Cross-Channel Marketing solution, Oracle Eloqua,  enables marketers to plan and execute automated marketing campaigns while delivering a personalized customer experience for their prospects. These campaigns scale for audiences across all channels including email, display search, video advertising, and mobile.  With integrated lead management and easy campaign creation, the solution helps marketers engage the right audience at the right time in their buyers journey. By gaining real-time insight through customersÕ Digital Body Language, sales teams can close more deals at a faster rate increasing MarketingÔs ROI.",Digital Enterprise,45
"Meerkat (formerly AIR and Yevvo) is a social media application that allows users to instantly push live video to friendsÕ pockets and follow their lives in real-time. Meerkat is currently available for beta for iPhone and iPod touch. After installing Meerkat, you can sign up using your Facebook account or manually with an email address.",New,99
"L2 is a member-based business intelligence firm that benchmarks the digital performance of brands. L2 uses proprietary research and tools, combined with academic rigor and progressive design, to provide managers with visibility into a brand's digital performance. L2 is tracking over 5,000 global brands and works with the prestige and consumer sectors' largest and most iconic enterprises and brands. ",Digital Enterprise,45
"HP Marketing Optimization offers a comprehensive suite of digital transformation products and solutions to help marketing and sales teams transform the customer experience.  These offerings include customer communications, workforce optimization, big data analytics, augmented reality, and digital experience management.",Digital Enterprise,45
Chute analyzes visual media to help companies understand how audiences perceive their brand through the photos and videos they share online. It also helps analyze consumer responses to visual media marketing campaigns and identify ways to improve them.,Data Analytics,35
"Snapchat is a video messaging application that allows users to take photos, record videos, add text and drawings, and send them to a controlled list of recipients. These sent photographs and videos are known as ""Snaps"". Users set a time limit for how long recipients can view their Snaps, after which they will be deleted from the company's servers. The application also has advertising available for businesses to reach the 13 to 34 year old demographic.",New,99
"Leadlander is a website visitor analytics platform that helps organizations how visitors are responding to online marketing campaigns. Features include lead scoring, real-time alerts, and integration with a variety of email and marketing automation solutions.",Data Analytics,35
"Localytics is an app marketing and analytics platform that helps enterprises learn about and build loyalty with their users. It features real-time analytics and dashboard visualization tools for marketers to see who top influencers are, measure the relative effectiveness of content and campaigns, and engage with users directly.",Digital Enterprise,45
"SimpleReach is a content measurement and distribution platform targeting publishers, marketers and ecommerce companies. It helps content curators manage their content campaigns and measure the effectiveness of published content across platforms. It also helps automate audience targeting.",Digital Enterprise,45
"Sproutsocial provides a social media management and engagement platform for large global brands. It helps analyze marketing campaigns, publish social content, and reach out to customers directly through social media.",Digital Enterprise,45
"99designs provides a graphic design crowdsourcing service focused on website design, logo design, and brand identity projects. Clients submit design briefs and receive multiple results back in a competition format. It also provides design-related crowdtasking services where clients can have smaller projects finished in as little as 1 hr.",Crowdsourcing,30
"CrowdTangle is a social media analytics platform that helps organizations identify and track trending social content. It enables users to track where their social traffic is coming from, and measure the relative effectiveness of different content. It also enables users to benchmark their activity to other social accounts.",Market Intelligence,82
"Upwork is an online platform connecting enterprises with freelance professionals for a wide variety of temporary business needs. Its primary job categories include mobile and web development, design, virtual assistants, sales & marketing, customer service, accounting, and consulting.",Workforce of the Future,130
"Hillgate connects organizations with freelance strategy and business development consultants to support a variety of strategic needs. Typical projects consultants are hired for include commercial strategy, strategic planning, market research, and M&A diligence.",Crowdsourcing,30
"Interana is a behavioral analytics platform that helps enterprises understand their users and customers. It focuses on enabling users to explore ""event data"" - which is an action conducted by a program, app, device, or person at a certain point in time that can be measured. It targets both data scientists and average business users, with analytical applications for web and mobile apps as well as the Internet of Things.",Data Analytics,35
"Snowflake Computing offers Data Management as a Service with a SQL data warehouse that uses a unique architecture, is designed for the cloud, and allows business analysts, developers, and account managers to access and analyze data.",Data Management,38
"Mavenlink delivers cloud-based software and services that transform how businesses do work with distributed teams, contractors, and clients. Mavenlink enables organizations of any size to successfully manage and scale their people, projects, and profits. Consulting firms, creative agencies, and professional services teams across the globe are running their businesses more efficiently with Mavenlink.",Workforce of the Future,130
"Smartsheet is a SaaS company that offers an enterprise-ready cloud app for work management and collaboration. Regarded for its online project management, collaboration, and file sharing features, Smartsheet's spreadsheet-like app is used broadly to track and manage diverse types of work including: team projects and task lists, customer information, sales pipelines, event schedules, and business processes.",Workforce of the Future,130
"Teamwork.com offers cloud-based software solutions to help organizations manage projects, collaborate and communicate seamlessly, and deliver customer support.",Workforce of the Future,130
"WhalePath is a crowdsourced market intelligence platform that provides customized research reports based on client inquiries. Clients enter their requirements online, where analysts with professional services experience compete to provide the most valuable and accurate results.",Crowdsourcing,30
"Experfy is an online platform for enterprises to hire experts for temporary projects across a wide variety of business practices areas. Practice areas include data science and predictive modeling, mobile and web app development, market research and diligence, and data management. Enterprises post their business challenge and evaluate bids from experts to complete the work.",Crowdsourcing,30
"Automation Anywhere develops robotic process automation(RPA) technology with a focus on Financial Services, BPO, Healthcare, Technology and Insurance companies. Their process robotsdeliver business and IT work across a range of processes including procure-to-pay, quote-to-cash, HR administration, claims processing, and thousands of other front and back office processes. Automation anywhere software adds cognitive capabilities to RPA software.  ",Artificial Intelligence,3
Blue Prism develops Robotic Process Automation software enabling an agile virtual workforce that follows rule-based business processes. It complements traditional IT solutions such as BPM and front office productivity tools.,Artificial Intelligence,3
IPsoft automates IT and business operations using expert solutions and services that help deliver operational efficiencies and business advantages for enterprises and public bodies.,Artificial Intelligence,3
"Fliptop (Acquired by LinkedIn) provides predictive marketing analytics applications for B2B companies. It leverages machine learning to generate predictive models helping identify and prioritize sales leads, contacts, accounts, and opportunities.",Digital Enterprise,45
"Ziptask is a technology outsourcing platform that helps manage enterprise software development projects from beginning to end. It leverages a crowd of freelance developers to execute the projects, and is centered around a team of experienced ""technical project managers"" that facilitate and oversee the process as a key value driver.",Crowdsourcing,30
EcoChain Application offers society the technology to help people understand and drive the complex reality of sustainability by interpreting data results and offers a team of sustainability and IT experts to help meet your every wish. Every company can measure its own environmental performance and conform to all relevant international standards allowing for an increase in profits and better management strategies.,Sustainability,119
"Symbotic offers a new value proposition for warehouse automation and the supply chain, optimizing fulfillment, transportation, and logistics. They provide integrated supply network automation solutions for warehouses and distribution centers using a simplified approach to logistics empowered by sophisticated software and robotics technology to lower the cost of materials handling from manufacturer to store shelf.",Data Analytics,35
"Vigillo specializes in taking unstructrured data and turning it into usable information. They present data in a scorecard format that companies can understand and address their most critical safety and compliance issues. Vigillo uses a cloud-computing environment to allow information to remain confidential, secure, and available.",Data Analytics,35
"Intrigo Systems is an enterprise consultancy that provides solutions in business strategy, process consulting and systems integration. They primarily use System Applications Products in conjunction with their consulting services. ",Data Analytics,35
" OpsVeda offers a platform for operations teams that provides answers for questions they encounter daily. Their platform does supply chain and manufacturing operations analysis in real-time and provides inputs needed to handle current situations, simplifying the hundreds of decisions they make everyday, enabling the Enterprise to achieve Speed and Scale.",Data Analytics,35
"Profit Velocity SolutionsÊuses a consulting solution based platform to provide manufacturers with entirely new capabilities in the planning and control of profitability. They provide unique Òwhat if analysisÓ capabilities thatÊevaluate the profit impact of alternative prices, costs, productivity, volume, mix, and capacity scenarios delivering a breakthrough for managers to simulate alternative decisions, forecasts, and business scenarios and quantify their profit impact.",Data Analytics,35
"Terra Technology helps companies through automated and mathematically-sophisticated supply chain software solutions to systematically use customer data to enhance service, cut inventory and reduce waste. They also use Transportation Forecasting to predict future shipments by lane/mode/carrier/day giving companies the ability to proactively identify capacity issues and the means to improve strategic sourcing processes, carrier collaboration and intermodal use. ",Data Analytics,35
Vecco enables companies to improve and accelerate decision-making across their supply chain realizing significant operating efficiencies by using cloud-based Value Chain Resource & Response Planning. They help create highly synchronized multi-partner business networks that solve global supply and fulfillment challenges.,Data Analytics,35
"Antecs is an organization that provides services and application solutions designed to support the supply chain between companies that collaborate on a cycle of product. Antecs uses a collaborative model based on open standards, which form a supply chain Electronic (Paperless Supply Chain), and produces a steady increase in ' process efficiency of the entire system.",Data Analytics,35
"Deposco utilizes a cloud-based, modular platform and can be deployed throughout an operation to capture and manage a singular, real-time view of inventory while synchronizing and streamlining data flows between e-commerce, marketplace, accounting and marketing systems.",Data Analytics,35
"Green Mountain Technology combines industry expertise, analytical tools, audit capabilities, and technology to support your parcel network. They use a Parcel Spend Management solution that combines parcel invoice audit and payment automation to become a strategic extension of a companiesÕ resources tasked with managing their parcel spend.",Data Analytics,35
"KMI Learning provides eLearning expertise and Learning Management System (LMS) technology needed to deploy, market and manage great online learning programs for companies and their employees.",Workforce of the Future,130
"Datacoup provides a platform for consumers to manage their personal data and get paid for it. From online social data to offline spending data, the platform connects aggregates all personal data in one place. Datacoup also helps consumers sell their anonymous data.",Data Management,38
Sociometric Solutions uses a social sensing platform to analyze communication patterns and help drive transformation services. They provide solutions to a wide variety of enterprises and mid-size firms across a number of different industries.,Pervasive Computing,103
Thalamus offers an enterprise marketing SaaS platform that allows consumer-oriented companies to engage consumers through multiple interaction touch-points and communication channels.,Digital Enterprise,45
"VisualDNA combines the approaches of data scientists, psychologists, creatives and engineers to understand the human personality, allowing people to understand themselves and businesses to serve their customers better. They help companies bridge communication gaps and enhance web experiences.",Digital Enterprise,45
"Viptela provides Software-Defined Wide Area Network (SD-WAN) technology that allows global companies to build carrier agnostic, policy-controlled and cost-effective WANs.",Cybersecurity,33
1-Page is a job candidate tracking and recruiting platform that helps enterprises engage prospective talent through its employees' social networks. It leverages a proprietary database of over 1 billion candidate profiles to help employers identify talent and which of their employees are connected to them. Its focus is on automating the referral process and increasing the response rate of passive candidates.,Workforce of the Future,130
"Foko is a visual communication app for teams. It enables live video messaging on users' phones as well as instant messaging. Users can also share photos and web links, and all content is securely stored in a searchable content archive.",Workforce of the Future,130
"Jobvite provides an end-to-end platform for managing recruiting processes and engaging talent. It's features help employers leverage social media and their own employees for referrals, allows organizations to create custom recruiting websites optimized for mobile, and enables remote engagement and video interviews with candidates.",Workforce of the Future,130
"Icertis provides a top tier enterprise contract management software in the Microsoft Cloud. They offer comprehensive solutions for compliance and contract management, cargo transportation management, fleet management, and public transport management.",Legal & Regulatory,75
"Matrix SPS provides a cloud-based technology platform that allows users to redefine how they buy services. The solution they deliver enables Councils to interact with vast and diverse markets via innovative technology that allows the Council to not only define policies, but also enforce them, with regards to how services are bought.",Market Intelligence,82
"PRO Unlimited provides a group of contingent workforce composed of independent contractors, returning retirees, freelancers and consultants to manage issues related to the procurement, selection, engagement and tracking of contingent (non-employee) worker.",Workforce of the Future,130
"Sirion is a SaaS platform that simplifies the delivery and consumption of complex services like ITO and BPO. It bridges the gap in existing supplier governance (for buyers) and revenue assurance (for suppliers) solutions by tightly integrating all key disciplines Ð contracts, performance, financial, risk, and relationship management.",Workforce of the Future,130
Work Market provides an enterprise-class platform and marketplace for managing contractors and freelance labor. They aim to build an on-demand work market of freelancers to solve your toughest business challenges and stay competitive in a modern world.,Crowdsourcing,30
PowerAdvocate provides market and cost intelligence to energy companies to optimize financial results. They provide engineers and supply chain professionals who can work with companies at every stage of their O&M or capital project process and also deliver software-as-a-service through their Energy Intelligence Platform.,Data Analytics,35
"Palerra provides a platform for enterprises to monitor and respond to cyber threats to cloud applications they use outside their firewall. The platform, called LORIC, features predictive analytics and a management dashboard for configuring security preferences that can be automated. It can be leveraged to protect a variety of cloud services including Amazon Web Services, Salesforce, ServiceNow, and Box.",Cybersecurity,33
"ThetaRay provides big data analytics platform and solutions for advanced cyber security, operational efficiency, and risk detection, protecting financial services sectors and critical infrastructure against unknown threats. ThetaRayÕs core technology is based on algorithms, which power its proprietary Hyper-Dimensional, Multi-Domain Big Data Analytics platform.",Data Analytics,35
"B2X provides customer care solutions for electronic devices to manufacturers, insurance providers, mobile network operators and retailers globally. Their shared services platform that consists of global staff, an operational fulfillment partner network and service delivery processes to provide customer care solutions.",Data Analytics,35
"Nulogy uses a cloud-based solution called PackManager to reduce costs, gain real-time visibility, improve compliance, and increase customer loyalty. Their solutions enable the personalization of consumer products by providing unprecedented responsiveness, automation, control, and collaboration.",Data Analytics,35
"Omneo provides digital content storage and processing systems for media companies to enable production and distribution of digital video and audio. It develops, markets, and sells a range of video servers, active storage systems, and related software applications to ingest, process, store, manage, and deliver digital media in various formats.",Data Management,38
Ayata uses a software that helps corporations make smarter decisions about the future. Their patented technology can predict future outcomes of critical business processes and also prescribe decision options and show the impact of each option.,Data Analytics,35
"Competitive Insights provides an Integrated Business Planning (IBP) that enables cross-functional users to make better fact based, data-driven decisions by translating a customerÕs transactional data into advanced business insights regarding current and future operating performance.",Data Analytics,35
"Wide Scope develops new approaches that reduce costs and improve a company's operational efficiency by using Mathematics, Artificial Intelligence and Information Technologies.",Data Analytics,35
"Nomi provides marketing and analytics solutions for retail stores. Its core offering combines physical in-store sensors with an analytics platform for understanding customer behavior, improving engagement, and running brick-and-mortar operations more efficiently. It also offers an omni-channel marketing attribution platform, and enables mobile location-aware marketing campaigns.",Pervasive Computing,103
Gigster provides software development outsourcing by leveraging a crowd of software developers and product managers. Development projects can vary in length and scope from prototypes to complete products. It recruits for and operates a talent pool that covers the full development stack and can code on any platform in any language.,Crowdsourcing,30
"Maplecroft helps organizations optimize and strengthen their risk management processes and supply chains by providing a full spectrum solution that uses a world-leading analysis, real-time locational monitoring and innovative risk calculator technology.",Data Analytics,35
Context Relevant helps enterprises build predictive and real-time data models to generate insights from their unstructured data. Its platform leverages machine learning to identify the most efficient combination of data inputs and automate the building of predictive models. Its primary applications are in customer behavior analysis and pricing strategy.,Artificial Intelligence,3
"Procurify is a cloud-based purchasing software solution that gives your company control and visibility of every dollar your company spends in real time by providing a platform to streamline the purchase approval process, optimize spending, and increase visibility throughout the entire procure-to-pay process.",Digital Enterprise,45
"LogiNext helps logistics companies improve their internal operations, optimize delivery networks and provide superior customer service using data collection, advanced analytics and visualization.",Data Analytics,35
"Flexport is a licensed customs brokerage and freight forwarder built around a modern web application. TheyÕre building an online dashboard for businesses to easily understand, purchase, manage and track the services required for global trade.",Data Analytics,35
"Enlighted provides smart sensors that help automate energy usage in buildings. It also provides a software platform that enables real-time analysis of data from its sensors and other systems for energy and spacial planning insights. Its sensors can capture data on room occupancy, lighting, temperature, and energy usage.",Pervasive Computing,103
"PubNub provides technology focused on managing large data streams across mobile apps and the Internet of Things. Its core platform enables developers to build ""real-time"" apps that require large volumes of data streaming live to users and require a network to manage that data at scale. It also enables real-time data streaming between connected devices in IoT applications including home automation, fleet tracking, and wearables.",Pervasive Computing,103
"TempoIQ provides a platform for centrally managing and analyzing connected device data in one place. It helps aggregate data from a variety of connected devices, store that data securely, and analyze it through custom analytics and dashboard formats. It also provides an API that can efficiently connect to any new IoT device and begin capturing its data for analyis.",Pervasive Computing,103
"Theatro provides a suite of applications to help retailers improve their in-store experience and operational efficiency. Its core wearable device products enable floor employees to check inventory, locate their manager, and communicate with one another. It also offers an application for analysis on store-wide and company-wide operations, featuring functionality for transparency and direct collaboration between employees, other store locations, and headquarters.",Pervasive Computing,103
"Apptourage helps enterprises test their mobile and web apps prior to launch by engaging a crowd of consumers to conduct the testing. It pays the consumers for their time and effort, and enables enterprises to target by specific demographics such as age and gender.",Crowdsourcing,30
"Thoughtly provides natural language processing tools to help enterprises generate insights from unstructured text. It's flagship product, Ellipse, is a self-service tool for analysts to analyze and visualize text data in real-time. It also has applications in government and academic research.",Artificial Intelligence,3
Oxdata H2O is an open source machine learning platform designed to aid development of smarter applications that leverage machine learning.,Artificial Intelligence,3
"Indico is a machine learning company that offers a suite of APIs to help organizations make sense of raw text and image data. Its API applications include text tagging/structuring, sentiment analysis, and emotional recognition. It also provides custom solutions.",Artificial Intelligence,3
"Diffbot is a developer of machine learning and computer vision algorithms and public APIs for web data extraction. The company offers software developers with tools to extract and understand objects from any Web page, which include Automatic APIs to extract content from supported page types, such as articles, products, discussions, images, and more; Crawlbot that uses various Diffbot API to extract data from entire sites, and Bulk Processing that extracts structured data from various URLs in a single job; and Custom APIs that enables users to extract any data from any Web page using custom rules and an instant API. It provides solutions for building an app that uses Web content; an enterprise business application; or a smart robotic assistant.",Artificial Intelligence,3
"Coursera is a free online educational platform offering courses on a wide variety of subjects. It partners with over 100 universities and educational programs to provide over 1,000 different courses. Users can engage with content in a variety of formats including video lectures, interactive quizzes, and peer-graded assessments. Participating universities also leverage the platform with their own students for blended learning.",Workforce of the Future,130
"Kidaptive is a learning technology company that applies ""adaptive learning"" to improve how learners progress through an online curriculum. It understand and adjusts to the needs of specific individuals and provides reports on how learners are performing. It's applications are focused on early education for children under 5 years old.",Workforce of the Future,130
"Arria is a maker of natural language generation software. The company uses artificial intelligence software that specializes in extracting information from complex data sources and communicating that information in natural language. The company provides its products and solutions to the oil and gas, healthcare, weather reporting, financial services, advertising and marketing, and management reporting industries. ",Artificial Intelligence,3
