Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Digital Enterprise,Marketing Services,Customer Analytics,Knowledge Management,Digital Benchmarking,,,,,Kaizen is the full-service platform that enables marketing professionals to optimize digital customer experiences at scale without utilizing expensive internal resources by connecting fragmented marketing tools and talent into one optimized ecosystem.
Crowdsourcing,Crowdfunding,Exchanges,Expert Networks,Financial Data,Market Research,Due Diligence,,,OurCrowd is an equity-based crowdfunding platform that connects accredited investors with start-ups looking for venture capital. Investors are granted access to the community after a screening process and can make $10K minimum investments.
Digital Enterprise,Marketing Services,Enterprise Intelligence,Mobile and Web Development,Digital Transformation Services,,,,,"ironSource is a data and analytics company that provides developers, carriers, device manufacturers & brands the platform to better understand and communicate with their users by using proprietary data-driven technology. It offers a complete ecosystem for online and mobile downloaded applications including all aspects of user acquisition, conversion, monetization, integrated analytics and optimization."
Data Analytics,Data Visualization,Predictive Modeling,Customer Analytics,Mobile and Web Development,Data Aggregation,Enterprise Intelligence,,,"CoolaData provides a platform for analyzing granular user behavior data across a variety of online mediums including mobile apps, company websites, gaming platforms, and online publishers. It aggregates user data from a variety of sources and enables the development of custom analytical applications on top of it. It also features pre-configured analytical funcionality and dashboards."
Data Analytics,Predictive Modeling,Customer Analytics,Marketing Analytics,Data Aggregation,Machine Learning,,,,G Predictive provides predictive analytics Software-as-a-Service to help clients understand their customers and enhance their marketing campaigns.
Digital Enterprise,Marketing Services,Market Research,Machine Learning,Marketing Analytics,Customer Analytics,,,,Deltamethod provides unique online marketing software and technology solutions to large international online merchants. Their software solutions are based on advanced data mining and machine learning algorithms.
Market Intelligence,Expert Networks,Market Research,Due Diligence,Managed Crowds,Competitor Intelligence,,,,"Alpha Sights is an information services firm that helps businesses quickly answer strategic questions by leveraging external experts in their field/industry of inquiry. It finds and forms a panel of experts - often former executives in their field - based on the business challenge, and delivers results in combination with in-house analysts. It emphasizes fast turnaround time on inquiries, with a majority of projects being delivered within 48 hours."
Market Intelligence,Market Research,Due Diligence,Data Visualization,Comparables,Financial Data,Machine Learning,,,"Data Fox provides a platform for discovering and tracking companies to invest in. Get access to the real-time data you need about private tech companies, enabling you to prospect for qualified leads, understand market trends, and be the first to know when key milestones are uncovered."
Data Management,Data Aggregation,Machine Learning,Knowledge Management,Enterprise Intelligence,Data Visualization,,,,"Alation’s enterprise data accessibility platform empowers employees inside of data-driven enterprises to find, understand, and use the right data for better, faster business decisions. Alation combines the power of machine learning with human insight to automatically capture information about what the data describes, where the data comes from, who’s using it and how it’s used."
Artificial Intelligence,Cognitive Technology,Predictive Modeling,Machine learning,Data Infrastructure,Data Aggregation,Enterprise Intelligence,Process Automation,,"Cognitive Scale is a cognitive cloud computing solution provider that helps customers source, analyze and interpret data from multiple sources (e.g., social, public, private and device data and context signals) to generate insights to improve decision-making, identify and target customers, refine product and service offerings, and manage risk."
Data Management,Data Infrastructure,Cloud Storage,Cloud Services & Platforms,,,,,,"CumuLogic Database Service is an “on-prem” platform empowering developers and DBAs with self service database access, while enabling IT Ops to retain control of the underlying infrastructure for governance and security."
Pervasive Computing,Internet of Things,Advanced Manufacturing,Mobile and Web Development,Wearables,Networks & Sensors,Cloud Services & Platforms,Data Infrastructure,,"Ayla Networks provides an end-to-end cloud-based platform for creating and managing internet connected devices. It enables the physical design and build of new connected devices in parallel with developing associated apps for those devices in one solution. OEMs, service providers, and retailers can use the platform to integrate connectivity and data intelligence into products without major design modifications."
Pervasive Computing,City Solutions,Energy Efficiency,Smart Grid,Networks & Sensors,Internet of Things,Enterprise Intelligence,,,"Awesense is a business intelligence provider that aims to improve how the smart grid operates. It offers energy analytics software and energy measurement hardware for utility companies to monitor energy usage, reduce risk, and improve overall grid efficiency."
Data Management ,Cloud Storage,Data Aggregation,Enterprise Intelligence,Energy Efficiency,,,,,"RtTech Software develops solutions to help manufacturing companies improve their asset availability, asset utilization and utilities consumption. "
Pervasive Computing,Data Visualization,Internet of Things,Predictive Modeling,Enterprise Intelligence,Advanced Manufacturing,Networks & Sensors,,,"Sight Machine provides an advanced analytics platform targeting the manufacturing industry. It pulls in data from a variety of factory floor equipment, sensors, and other sources - enabling enterprises to visualize and analyze their floor operations efficiently in one place. It features views applicable to improving overall efficiency and generating insights to inform new product development."
Artificial Intelligence,Cognitive Technology,Machine Learning,Natural Language Processing,Process Automation,Digital Transformation Services,Cloud Services & Platforms,Neuroscience,,ai-one™ provides application programming interfaces (APIs) that enable developers to build machine learning applications. Our tools enable any programmer to build intelligence into almost any software application.
Artificial Intelligence,Machine Learning,Predictive Modeling,Data Visualization,Data Infrastructure,,,,,BigML offers a machine learning service can be used to analyze and predict customer behavior and also examine site behavior. It uses machine learning to find patterns in complex data to create new insights and use those patterns to predict future outcomes.
Data Analytics,Machine Learning,Predictive Modeling,Enterprise Intelligence,Natural Language Processing,Customer Analytics,Text Analytics,Marketing Analytics,,"Dato provides a machine learning platform that creates big data analytics products. The open source platform applyies large scale machine learning to graph analysis, tables, text, and images to make recommendations, detect fraud, conduct customer sentiment analysis, and build predictive apps."
Artificial Intelligence,Cognitive Technology,Machine Learning,Natural Language Processing,Cyber Intelligence,Data Visualization,Process Automation,"Fraud Monitoring, Protection & Investigation",Corruption & Money Laundering,"Digital Reasoning provides an enterprise software platform that can understand and generate insights from human communication across a wide variety of languages and mediums. It focuses on detecting and visualizing patterns related to suspicious or unlawful activity, and has served governments, intelligence agencies, and financial institutions."
Artificial Intelligence,Machine Learning,Mobile and Web Development,Predictive Modeling,Cognitive Technology,Natural Language Processing,Cloud Services & Platforms,Financial Analytics,Text Analytics,"Ersatz is a platform for software engineers looking to get more done with machine learning. It offers data wrangling, deep learning, and an API. Powered by excellent open source libraries like theano, pylearn2, and others."
Artificial Intelligence,Cognitive Technology,Internet of Things,Networks & Sensors,Cloud Services & Platforms,Machine Learning,Telematics,,,"Kimera Systems provides technology components to device manufacturers and network operators to bring intelligent device behavior to end-users and massively increase device and network profitability. Based on almost a decade of research, Kimera Systems’ artificial intelligence technology is a breakthrough in artificial general intelligence technology."
Artificial Intelligence,Naural Language Processing,Machine Learning,Cognitive Technology,Predictive Modeling,Process Automation,Customer Analytics,Text Analytics,Computer Vision,"MetaMind provides ""Artificial-Intelligence (AI)-as-a-Service"" to enterprises, governments, and academic institutions. It combines deep learning, natural language processing, and image recognition to analyze a wide variety of unstructured data. It also enables users to build their own applications on top of the core technology."
Artificial Intelligence,Machine Learning,Neuroscience,Cognitive Technology,Cloud Services & Platforms,Predictive Modeling,Data Infrastructure,,,"Nervana Systems is a artificial intelligence company that uses deep machine learning algorithms for optimization across various business outcomes. They use a full-stack approach to combine hardware and software cloud machine learning to help companies classify, localize, or predict large-scale datasets."
Artificial Intelligence,Machine Learning,Neuroscience,Cognitive Technology,Natural Language Processing,Predictive Modeling,,,,"Numenta has developed a cohesive theory, core software technology, and numerous applications all based on principles of the neocortex. This technology lays the groundwork for the new era of machine intelligence. Their innovative work delivers breakthrough capabilities and demonstrates that a computing approach based on biological learning principles will make possible a new generation of capabilities not possible with today’s programmed computers."
Artificial Intelligence,Cognitive Technology,Neuroscience,Predictive Modeling,Machine Learning,Supply Chain Analytics,,,,Saffron is an AI company that utilizes machine learning to analyze unstructured and disparate data sets an alternative to data modeling.
Data Analytics,Predictive Modeling,Cognitive Technology,Machine Learning,Customer Analytics,Marketing Analytics,,,,"Sentient is applying biologically insprired artificial intelligence technologies to create unique solutions in verticals such as investment, medical diagnosis and e-commerce. The company uses distributed AI technology to find patterns in large data sets and generate insights."
Artificial Intelligence,Machine Learning,Natural Language Processing,Cognitive Technology,Process Automation,Enterprise Intelligence,Computer Vision,,,"Skymind is a business intelligence and enterprise software firm that analyzes text media, image, video, time series and sound to locate and quantify patterns that affect a company's business."
Artificial Intelligence,Machine Learning,Natural Language Processing,Neuroscience,Computer Vision,,,,,"Vicarious is building a unified algorithmic architecture to achieve human-level intelligence in vision, language, and motor control. Currently, they are focused on visual perception problems, like recognition, segmentation, and scene parsing. "
Artificial Intelligence,Machine Learning,Customer Analytics,Predictive Modeling,Process Automation,Cognitive Technology,,,,Wise.io is a machine learning company with applications focused on understanding and engaging customers. It also has emerging applications in fraud detection.
Data Analytics,Marketing Analytics,Customer Analytics,Supply Chain Analytics,Predictive Modeling,Risk & Regulatory Analytics,Text Analytics,Performance Management,,Mu Sigma is a decision sciences and analytics firm that helps companies institutionalize data-driven decision making.
Data Management,Data Infrastructure,,,,,,,,"Nutanix delivers invisible infrastructure for next-generation enterprise computing by natively converging compute, storage and virtualization into a turnkey hyperconverged solution. The world’s most advanced enterprise datacenters rely on Nutanix web-scale technology to power their mission-critical workloads at any scale."
Digital Enterprise,Social Media,Customer Analytics,Marketing Analytics,Marketing Services,Cloud Sevices and Platorms,,,,"Hootsuite is a social media relationship platform with more than 10 million users, including 744 of the Fortune 1000 companies. Hootsuite manages their social media programs across multiple social networks from one integrated dashboard."
Digital Enterprise,Mobile and Web Development,,,,,,,,"Ionic is a powerful HTML5 native app development framework that helps you build native-feeling mobile apps all with web technologies like HTML, CSS, and Javascript."
Digital Enterprise,Marketing Services,Social Media,Marketing Analytics,Customer Analytics,Cloud Sevices and Platorms,Digital Transformation Services,,,"AdRoll provides retargeting services with over 15,000 active advertisers worldwide. Adroll's platform enables brands of all sizes to create personalized ad campaigns based on their own website data, ensuring maximum return on online advertising spend."
Digital Enterprise,Digital Transformation Services,Cloud Services and Platforms,Mobile and Web Development,Enterprise Intelligence,Digital Benchmarking,,,,Kainos is a high-growth IT services company providing digital technology solutions and agile software development to enterprise customers.
Digital Enterprise,Maketing Services,Process Automation,,,,,,,"PowToon creates minimalist, user friendly and intuitive presentation software that allows someone with no technical or design skills to create engaging professional “look and feel” animated presentations. "
Digital Enterprise,Digital Transformation Services,Information Security,Cloud Services and Platform ,Process Automation,Marketing Services,,,,"Workbooks suite of Business Applications are specifically designed for small and mid-size organizations and are delivered via Software-as-a-Service, therefore removing the traditional requirements of having hardware to maintain and software to install and support."
Data Analytics,Marketing Services,Customer Analytics,Marketing Analytics,Mobile and Web Development,Social Media,Data Aggregation,Competitions,,Stackla is the social content marketing platform that puts user-generated content at the heart of brand marketing.
Crowdsourcing,Expert Networks,Freelance Talent/Labor,Market Research,Crowd Management Platforms,Remote Workforce,Due Diligence,,,Expert360 allows businesses to engage top consulting and finance talent for project-work.  They offer a digital platform that allows clients ranging from startups to enterprises to consulting firms to search and connect with the qualified talent.
Data Analytics,Marketing Analytics,Marketing Services,Data Visualization,Market Research,Digital Benchmarking,Customer Analytics,Mobile and Web Development,,"BuiltWith is a website profiler, lead generation, competitive analysis and business intelligence tool providing technology adoption, ecommerce data and usage analytics for the internet."
Cybersecurity,Managed Crowds,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,,,,,"HackerOne is a managed cyber security service that leverages a crowd of qualified security researchers to provide ""always on"" vulnerability lifecycle management. It also provides a platform for communication between security researchers and internal cyber security and response teams."
Financial Crime,"Fraud Monitoring, Protection & Investigation",Customer Analytics,Machine Learning,Cloud Services & Platforms,Predictive Modeling,,,,"Trustev is the first fraud prevention software that works without ""rules"". It analyzes behavior and transactions, then gives instant decisions that are far more accurate."
Financial Crime,"Fraud Monitoring, Protection & Investigation",Information Security,Identity Verification,Mobile Security,Risk & Regulatory Analytics,Expert Networks,,,"Iovation protects online businesses and their end users against fraud and abuse through a combination of advanced device identification, shared device reputation and real-time risk evaluation. Iovation's technology identifies and continues to recognize devices over time without requiring personal information."
Data Analytics,Data Visualization,Virtual Collaboration,Cloud Services & Platforms,,,,,,"Plotly helps companies through specification, dashboard design, and implementation to ensure world-class graphic and visualization results. Plotly also builds custom graphs and maps from scratch in D3.js or WebGL."
Legal & Regulatory,Tax Analytics,Regulation & Compliance,Legal Document Review,Financial Data,Expert Networks,,,,Bench is the online bookkeeping service that provides you tax-ready financial statements from professional bookkeepers.
Data Management,Supply Chain Analytics,Cloud Services and Platforms,Regulation & Compliance,Knowledge Management,Data Aggregation,Risk & Regulatory Analytics,,,"Lavante offers cloud-based supplier management solutions for Fortune 1000 Companies. Their mission is to connect businesses with their suppliers and we provide value to both by automating and improving the quality, accuracy and cost effectiveness of business interactions. "
Digital Enterprise,Marketing Services,Marketing Analytics,Customer Analytics,Social Media,Predictive Modeling,Mobile and Web Development,,,"Luckie uses insights pulled from rich data and delivered through traditional, digital and mobile channels to create more engaging, more enduring and more human relationships with your customers."
Data Analytics,Marketing Analytics,Market Research,Data Visualization,Performance Management,Machine Learning,Predictive Modeling,Customer Analytics,,"Visual IQ is across channel marketing attribution software company. Their IQ Intelligence Suite™ of hosted software products reveals cross channel performance insights hidden deep within marketing data, and provides both executive-level and practitioner-level recommendations to improve marketing performance."
Sustainability,Energy Efficiency,Meter Data Management (MDM),Networks & Sensors,,,,,,Quby is changing the way people are experiencing energy. The Quby Smart Thermostat provides immediate insight into energy use and energy costs. It keeps you in control of your energy consumption and allows you to adjust if necessary. Their clients are top tier companies delivering home services to consumers. 
Digital Enterprise,Social Media,Marketing Services,Information Exchange,,,,,,Crowdynews is a Dutch technology company that enables publishers and editors all over the world to easily blend traditional news stories with the social commentary. Crowdynews’ technology automatically selects relevant social media commentary for news stories while giving control over what gets published on a webpage.
Digital Enterprise,Digital Transformation Services,Financial Analytics,Risk & Regulatory Analytics,Mobile and Web Development,"Fraud Monitoring, Protection & Investigation",,,,"Ayden makes it easy to accept payments worldwide from all sales channels via connection to a single and scalable payment platform. With a seamless solution for mobile, online and in-store transactions, their technology enables merchants to accept almost any type of payment, anywhere in the world."
Market Intelligence,Market Research,Information Exchange,Accelerators,Comparables,,,,,Beta List is an online platform that enables users to discover and get early access to the latest internet startups. It enables entrepreneurs to advertise about their startup launches to an audience of early adopters who are ready to provide them with feedback. 
Data Analytics,Data Visualization,Data Aggregation,Enterprise Intelligence,Natural Language Processing,Knowledge Management,,,,Elastic provides open source projects focused on scalability and ease-of-use that help companies make sense of big data through analytics and visualization.
Digital Enterprise,Digital Transformation Services,Mobile and Web Development,Virtual Collaboration,Cloud Services & Platforms,Software Testing,,,,"GitLab is an open-source Rails application project providing Git repository management with fine grained access controls, code reviews, issue tracking, activity feeds, wikis and continuous integration. They enable engineering teams to build better products, and spend less time working on code and more time collaborating. GitLab Inc. supports organizations and individuals by offering subscriptions, consulting, development and training for GitLab."
Data Analytics,Data Visualization,Virtual Collaboration,Digital Transformation Services,Knowledge Management,Cloud Sevices & Platorms,,,,"Silk is a cloud-based data publishing platform that enables users to visualize their data online by the way of interactive web pages called Silks. Silks contain data on a specific topic and anyone can browse a Silk to explore data and create interactive charts, maps and web pages. "
Digital Enterprise,Software Testing,Mobile and Web Development,Process Automation,,,,,,Wercker is a continuous delivery platform focusing on changing the way developers build and deploy their applications. Their platform was built in order to make developers' lives easier and enabling them to move fast and make things.
Workforce of the Future,Virtual Collaboration,Remote Workforce,,,,,,,"Surfly builds next generation web tools that will greatly simplify the experience for online web visitors. Their real-time web sharing technology enables remote collaboration by showing others what you see in your web browser. A website visitor’s session can be shared with anyone (for instance, a company representative) without the need to install software, or even make any changes to the website."
Sustainability,Energy Efficiency,Meter Data Management (MDM),Regulation & Compliance,Environmental Footprint,Smart Grid,,,,Energyworx enables organizations to make confident business decisions with real time generated insights through energy data analytics. They fuel best of breed products and services for the energy and utility industry.
Digital Enterprise,Marketing Sevices,Cloud Services and Platforms,Digital Transformation Services,Mobile and Web Development,Markeiting Analytics,,,,"Bynder offers a suite of easy-to-use marketing content and resource management solutions, as well as marketing consulting services.  Bynder's products and services cut across digital asset management, creative project management, brand identity and materials, and web print and publishing."
Market Intelligence,Comparables,Financial Data,Due Diligence,Knowledge Management,Market Research,Financial Analytics,,,"Equidam offers ""company valuation in a box."" It's platform helps growing businesses value their own companies without professional finance experience through intuitive features and data import capabilities that automatically generate assumptions. Businesses can track their value over time and compare it to other companies."
Data Management,Knowledge Management,Social Media,Virtual Collaboration,Information Exchange,Data Aggregation,,,,"Papyrs is a simple online intranet and company wiki. Every organization has too many documents, files, CRM information that’s too easy to lose track of. Papyrs can put all a company's information in one place to enable sharing documents with colleagues and clients. Papyrs also provides an organizational social network."
Pervasive Computing,Augmented Reality,Networks & Sensors,Robotics,Wearables,Advanced Manufacturing,Talent Sustainability,,,"Xsens provides 3D motion capture sensors and systems used to record, analyze, and recreate physical movements. Its sensor technology combines the use of video and ""inertial"" (physical movement) capture, most often for human movement. It has a number of enterprise applications including video animation in advertising, human-machine interactions, biomechanical analysis and rehabilitation, and automotive testing."
Legal & Regulatory,Regulation & Compliance,Legal & Contract Document Review,Text Analytics,Risk & Regulatory Analytics,Predictive Modeling,Machine Learning,Natural Language Processing,Natural Language Generation,"Lex Machina provides an advanced analytics platform for generating insights from vast quantities of legal data. It helps clean and structure litigation data from various sources, then generates reports based on user queries about specific cases, judges, and patents. It is intended to accelerate case building for lawyers and strategic decision-making for business users."
Legal & Regulatory,Natural Language Processing,Risk & Regulatory Analytics,E-Discovery,Process Automation,Knowledge Management,,,,"Judicata applies semantic algorithms to analyze case law and turns unstructured court opinions into structured data. Judicata uses that data to build legal research and analytics tools to aid lawyers to make sense of massive amounts of information and help them in exercising their skilled, human judgment."
Digital Enterprise,Mobile and Web Development,Software Testing,Virtual Collaboration,Project Management,Remote Workforce,Knowledge Management,,,"Atlassian provides a suite of applications helping software development teams collaborate and operate more efficiently. It includes tools for managing and testing code, tracking issues, designing and managing development processes, sharing files, and managing customer support activities."
Cybersecurity,Managed Crowds,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,,,,,"Synack is a managed cyber security service that leverages a crowd of qualified security researchers to provide ""always on"" vulnerability lifecycle management for a monthly fee. It emphasizes its rigorous screening and qualification processes in forming the crowd as a differentiator."
Cybersecurity,Machine Learning,Information Security,Internet of Things,,,,,,Axon Ghost Sentinal helps protect mobile devices and other internet connect devices from cyber attacks through swarm intelligence and peer-to-peer overlay. These technologies are a form of artificial intelligence that sample information about a specific device and compare it to information from other devices to determine if it is behaving abnormally.
Cybersecurity,Information Security,Process Automation,Data Infrastructure,,,,,,Shape Security provides a hardware product - ShapeShifter - that plugs into existing web architecture to protect websites from malware and bots. The product automatically disables the ability of malware to interact with the client website by repeatedly re-writing the website's code in real-time.
Cybersecurity,Information Security,IT Vulnerability & Threat Assessment,Crisis Management,Machine Learning,Predictive Modeling,Software Testing,,,"Cylance offers the CylancePROTECT, which redefines what antivirus can and should do for your organization by leveraging artificial intelligence to detect and prevent malware from executing on your endpoints in real time. Cylance also offers a comprehensive suite of cybersecruity professional services, including incident responses, forensic investigations, and penetration testing."
Cybersecurity,Cloud Services and Platforms,Information Security,Mobile Security,IT Vulnerability & Threat Assessment,,,,,"Bitglass is a Cloud Access Security Broker that delivers innovative technologies that transcend the network perimeter to deliver total data protection for the enterprise - in the cloud, on mobile devices and anywhere on the internet."
Cybersecurity,Information Security,IT Vulnerability & Threat Assessment,Cloud Services & Platforms,Identity Verification,Cyber Intelligence,Mobile Security,,,"Cloudlock focuses on the Shadow IT challenge that matters – those cloud and third-party apps that directly connect into the corporate environment. They've built out a unified cloud security fabric that helps organizations protect their sensitive data in public cloud applications such as Google Apps, Salesforce, Dropbox, Box, ServiceNow, Office 365, Third-party connected and other apps."
Cybersecurity,Cyber Intelligence,IT Vulnerability & Threat Assessment,Information Security,Crisis Management,Mobile Security,,,,"FireEye has invented a purpose-built, virtual machine-based security platform that provides real-time threat protection to enterprises and governments worldwide against the next generation of cyber attacks. The FireEye Threat Prevention Platform provides real-time, dynamic threat protection without the use of signatures to protect an organization across the primary threat vectors and across the different stages of an attack life cycle. The core of the FireEye platform is a virtual execution engine, complemented by dynamic threat intelligence, to identify and block cyber attacks in real time. "
Cybersecurity,Information Security,IT Vulnerability & Threat Assessment,Digital Benchmarking,Risk & Regulatory Analytics,Comparables,Due Diligence,,,BitSight wants to transform how organizations evaluate risk and security performance. They collect and analyze vast amounts of external data on security behaviors and security policy implementations ro provide security ratings on companies. They want to forego going deeper into policies and procedures and instead follow the outside-in model employed by consumer credit rating agencies.
Workforce of the Future,Remote Workforce,Virtual Collaboration,Project Management,Knowledge Management,,,,,"Asana is a team communication and collaboration platform meant to be an alternative to email. It features its own team messaging functionality along with task creation, project management, file sharing and commenting features all aggregated into a searchable content archive."
Data Management,Cloud Services & Platforms,,,,,,,,"Hightail offers cloud-based solutions for online sharing, storage and file management capabilities. Today, the company serves more than 40 million registered users across 193 countries and 98 percent of the Fortune 500."
Workforce of the Future,Project Management,Remote Workforce,Virtual Collaboration,Knowledge Management,,,,,"Slack is a team communication and collaboration platform that intends to replace a majority of email and traditional applications with one tool. Features include real-time messaging and video, file management and storage, task management, and searchable archiving of all user activity. It also integrates with a wide variety of external workflow applications."
Workforce of the Future,Virtual Collaboration,Remote Workforce,Knowledge Management,Project Management,,,,,"Front is shared collaborative inboxes for email, SMS, and Twitter built for teams. It provides every external conversation in one place, easily searchable, and sharable with others on your team."
Workforce of the Future,Remote Workforce,Virtual Collaboration,Project Management,Mobile Security,,,,,"Cotap is a mobile app for group texting, calling and file sharing among teams. Features include enterprise-strength security, integration with existing business and file management applications, and functionality designed to engage groups in mobile discussion. It aims to be the 'WhatsApp' for the workplace."
Workforce of the Future,Remote Workforce,Virtual Collaboration,Project Management,,,,,,"Huddle is a cloud-based collaboration platform that combines file sharing, document management, workflow and team communication features for enterprises. It is intended to be a modern alternative to Sharepoint."
Workforce of the Future,Virtual Collaboration,Project Management,Information Security,Knowledge Management,Legal & Contract Document Review,,,,Caplinked is a platform for secure workflow activity and file sharing between counterparties. It functions as a data room enterprises use to send and receive confidential information from 3rd parties. It also enables communication and task management among stakeholders to close deals more efficiently.
Workforce of the Future,Remote Workforce,Virtual Collaboration,Knowledge Management,Cloud Storage,,,,,Minbox is a low cost file sharing and collaboration platform for teams. It features real-time activity feeds and integration with a variety of cloud applications.
Workforce of the Future,Remote Workforce,Virtual Collaboration,Project Management,Knowledge Management,,,,,"Kato is a team communication and collaboration platform meant to be an all-in-one alternative to email. It combines voice, text, and video messaging capabilities with collaborative document development and file management features."
Data Analytics,Customer Analytics,Marketing Analytics,Predictive Modeling,Data Visualization,,,,,"Mixpanel provides a platform that analyzes customer, marketing, and product data and visually displays results in a flexible and intuitive manner."
Cybersecurity,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,Enterprise Intelligence,Regulation & Compliance,,,,"Trustwave provides a variety of cyber security and cyber crime solutions. It offers a mix of software products and managed services through a team of security experts, hackers, and researchers."
Cybersecurity,Cloud Services and Platforms,Software Testing,Mobile Security,Information Security,IT Vulnerability & Threat Assessment,Cyber Intelligence,,,"Veracode protects enterprises from pervasive web and mobile application security threats, offering products and services with a centralized, best practices approach to help scale governance programs across disparate business units and development teams — and systematically reduce application-layer risk across the entire global infrastructure."
Legal & Regulatory,Legal Document Review,Regulation & Compliance,Corporate Sustainability,Knowledge Management,,,,,"LegalZoom is an easy-to-use, online service to help small business and consumers in the United States create  their own legal documents. They focus on convenience and service to provide a smart, cost-effective alternative to make sure everyone gets the legal protection they need."
Data Analytics,Predictive Modeling,Data Visualization,Enterprise Intelligence,,,,,,BeyondCore delivers one-click automated business analysis. Their technology automatically explores millions of variable combinations and immediately presents the most important insights without human bias or error.
Workforce of the Future,Exchanges,Talent Sustainability,,,,,,,"ZipRecruiter simplifies the process for both a job seeker and an employer. With ZipRecruiter, employers can find quality candidates by posting a job to 100+ leading job boards & social networks with one click. Job seekers get email alerts with postings that are tailor made for their skill set and location."
Artificial Intelligence,Machine Learning,Natural Language Generation,Text Analytics,Enterprise Intelligence,Process Automation,Cognitive Technology,Process Automation,,"Narrative Science offers Quill, which is a natural language generation (Advanced NLG) platform for the enterprise that creates written narratives based on analysis of data and reporting."
Workforce of the Future,Design Thinking,Education,Training & Development,Marketing Services,Digital Transformation Services,,,,"Ideo is a global design firm that takes a human-centered, design-based approach to helping organizations in the public and private sectors innovate and grow. They identify new ways to serve and support people by uncovering latent needs, behaviors, and desires. They help organizations build creative culture and the internal systems required to sustain innovation and launch new ventures."
Data Analytics,Crowd Management Platforms,Virtual Collaboration,Workforce Analytics,Enterprise Intelligence,,,,,"9lenses provides a platform for ""digitally interviewing"" employees and stakeholders for input into solving specific business challenges. Users create survey-like interviews and send them to target recipients for their feedback. The tool provides detailed analysis and reporting on respondent answers and key trends."
Data Analytics,Customer Analytics,Marketing Analytics,Marketing Services,Performance Management,Project Management,,,,"Gainsight provides a Customer Success Management platform that allows companies to leverage customer intelligence and automation to proactively manage retention, reduce unexpected churn and identify upsell opportunities."
Market Intelligence,Market Research,Expert Networks,Information Exchange,Virtual Collaboration,Knowledge Management,,,,"ReseachGate aims to connect researchers and make it easy for them to share and access scientific output, knowledge, and expertise via providing an online social network platform for scientists. On ResearchGate, they find what they need to advance their research."
Data Management,Cloud Storage,Digital Transformation Services,Cloud Services & Platforms,,,,,,Infinidat provides next generation enterprise class hybrid storage at a disruptive price point supporting a company’s needs for future growth.
Crowdsourcing,Competitions,Freelance Talent/Labor,Mobile and Web Development,Market Research,Expert Networks,,,,"redesign mobile is an online marketplace connecting businesses with qualified freelance professionals to help address temporary business challenges. It focuses on small projects, and allows organizations to see competing results before selecting which professional to pay. Focus areas include projects/advisory in UI/UX design, law, retail customer experience, and payments technology."
New,Crowdsourcing,Freelance/Talent Labor,Exchanges,Expert Networks,Market Research,Marketing Services,Due Diligence,,"SpareHire is an online work marketplace that enables organizations to find and engage top-tier finance and consulting professionals for project-based work. They use technology to increase connectivity between these two groups in a discreet and confidential manner, and foster a flexible work solution for the modern organization and professional in the digital era."
Cybersecurity,IT Vulnerability & Threat Assessment,Cyber Intelligence,Information Security,Crisis Management,Identity Verification,Mobile Security ,,,"Bit9 + Carbon Black Security provides next-generation endpoint security solution. Its offerings consist of the Bit9 Security Platform for endpoint threat protection, Carbon Black for endpoint detection and response (EDR), and the Threat Intelligence Cloud for comprehensive, aggregated advanced threat intelligence."
Cybersecurity,Information Security,Cyber Intelligence,IT Vulnerability & Threat Assessment,Mobile Security,,,,,Bromium has created a game-changing new technology called micro-virtualization to address enterprise security problems and provide protection for end users against advanced malware. Bromium vSentry provides protection at the endpoint against all advanced malware. 
Cybersecurity,Identity Verification,Cloud Services and Platforms,IT Vulnerability & Threat Assessment,Information Security,,,,,"Centrify strengthens enterprise security by managing and securing user identities from cyber threats. With their platform of integrated software and cloud-based services, Centrify secures and unifies identity for both privileged and end users across today’s hybrid IT world of cloud, mobile and data center. "
Cybersecurity,Identity Verification,Machine Learning,,,,,,,"Socure is a provider of digital identity verification services. The company applies machine learning techniques with biometrics and data intelligence from email, phone, IP, social media and the broader internet, to offer multi-factor authentication. "
Cybersecurity,Cloud Services & Platforms,Information Security,Cloud Storage,Cyber Intelligence,,,,,"CipherCloud enables organizations to securely adopt cloud applications by overcoming data privacy, residency, security, and regulatory compliance risks. They deliver an open platform with comprehensive security controls including encryption, tokenization, cloud data loss prevention, cloud malware detection, and activity monitoring. CipherCloud’s technology protects sensitive information in real time, before it is sent to the cloud, while preserving application usability and functionality."
Cybersecurity,IT Vulnerability & Threat Assessment,Cyber Intelligence,Crisis Management,Information Security,Mobile Security ,Identity Verification,Risk & Regulatory Analytics,Machine Learning,"Skyhigh Networks is a Cloud Security and Enablement Company that enables organizations to adopt cloud services with appropriate security, compliance, and governance. Skyhigh supports the entire cloud adoption lifecycle, providing visibility, analytics, and policy-based control."
